Competition,home_team,away_team,match_date,Time,home_goals,away_goals,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP.1,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,bet365-H,bet365-D,bet365-A,Betfair_Exch-H,Betfair_Exch-D,Betfair_Exch-A,H-Max,D-Max,A-Max,odds_home_avg,odds_draw_avg,odds_away_avg,mkt_p_home,mkt_p_draw,mkt_p_away
World Cup 2026,New Zealand,Belgium,2026-06-27,04:00:00,1,5,0,1,1,4,,,,,90 minutes,6,35,2,10,10,7,5,8,2,0,0,0,0.24,3.64,13.0,8.5,1.17,15.5,9.2,1.2,15.0,9.0,1.19,13.28,8.14,1.17,0.07152115565715383,0.11668316303771534,0.8117956813051308
World Cup 2026,Croatia,Ghana,2026-06-27,22:00:00,2,1,1,0,1,1,,,,,90 minutes,8,6,4,1,9,13,3,2,1,1,0,0,0.42,0.64,1.8,3.1,5.75,1.84,3.3,6.2,1.87,3.35,5.75,1.79,3.16,5.39,0.5267171559425918,0.29836193327127825,0.17492091078612979
World Cup 2026,Panama,England,2026-06-27,22:00:00,0,2,0,0,0,2,,,,,90 minutes,13,17,2,6,16,13,3,7,2,1,0,0,0.66,1.57,17.0,8.5,1.14,23.0,9.4,1.17,20.0,9.5,1.17,16.53,8.45,1.14,0.05728619368834954,0.11206399783058202,0.8306498084810685
World Cup 2026,Colombia,Portugal,2026-06-28,00:30:00,0,0,0,0,0,0,,,,,90 minutes,24,13,6,2,12,6,5,2,1,0,0,0,1.7,0.92,4.0,4.0,1.8,4.3,4.1,1.89,4.0,4.0,1.9,3.83,3.84,1.84,0.24516308119361552,0.24452463566967386,0.5103122831367106
World Cup 2026,DR Congo,Uzbekistan,2026-06-28,00:30:00,3,1,0,1,3,0,,,,,90 minutes,19,3,4,1,6,16,2,4,3,2,0,0,2.17,0.2,1.67,3.8,5.25,1.71,4.0,5.7,1.68,4.0,5.5,1.64,3.79,5.23,0.5726415230611448,0.24779211024281728,0.17956636669603776
World Cup 2026,Algeria,Austria,2026-06-28,03:00:00,3,3,1,1,2,2,,,,,90 minutes,12,10,5,3,3,7,0,3,0,1,0,0,1.67,1.49,3.5,2.05,3.6,3.7,2.14,3.75,3.55,2.15,3.75,3.33,2.09,3.45,0.2810157958119468,0.4477428708391306,0.2712413333489226
World Cup 2026,Jordan,Argentina,2026-06-28,03:00:00,1,3,0,2,1,1,,,,,90 minutes,5,12,1,4,13,7,2,6,3,0,0,0,0.76,2.13,21.0,9.0,1.11,25.0,9.8,1.16,21.0,9.0,1.15,19.03,8.45,1.13,0.049769123597449956,0.11208360024372459,0.8381472761588254
World Cup 2026,South Africa,Canada,2026-06-28,20:00:00,0,1,0,0,0,1,,,,,90 minutes,6,12,1,7,10,16,1,4,0,2,0,0,0.14,1.38,5.0,3.25,1.83,5.3,3.45,1.89,5.1,3.5,1.85,4.68,3.3,1.82,0.200416449765747,0.2842269651223321,0.5153565851119207
World Cup 2026,Brazil,Japan,2026-06-29,18:00:00,2,1,0,1,2,0,,,,,90 minutes,19,5,7,2,4,13,6,2,2,3,0,0,2.07,0.33,1.75,3.5,5.0,1.81,3.65,5.6,1.8,3.56,5.2,1.75,3.47,4.96,0.5384608164887044,0.27155804866145034,0.1899811348498453
World Cup 2026,Germany,Paraguay,2026-06-29,21:30:00,1,1,0,1,1,0,0.0,0.0,3.0,4.0,Penalties,21,7,6,3,18,12,16,6,2,2,0,0,1.57,0.35,1.33,5.0,9.5,1.37,5.3,12.0,1.37,5.3,10.0,1.33,5.06,9.16,0.7102059078609058,0.1866746753863646,0.10311941675272977
